image_file,patch_index,num_nuclei,density_per_mm2
SOB_M_DC-14-11031-200-001.png,0,38,717002.7774
SOB_M_DC-14-11031-200-001.png,1,58,1094372.66
SOB_M_DC-14-11031-200-001.png,2,32,603791.8126
SOB_M_DC-14-11031-200-001.png,3,44,830213.7423
SOB_M_DC-14-11031-200-001.png,4,60,1132109.649
SOB_M_DC-14-11031-200-001.png,5,69,1301926.096
SOB_M_DC-14-11031-200-002.png,0,41,773608.2599
SOB_M_DC-14-11031-200-002.png,1,23,433975.3653
SOB_M_DC-14-11031-200-002.png,2,15,283027.4121
SOB_M_DC-14-11031-200-002.png,3,75,1415137.061
SOB_M_DC-14-11031-200-002.png,4,33,622660.3067
SOB_M_DC-14-11031-200-002.png,5,28,528317.836
SOB_M_DC-14-11031-200-003.png,0,41,773608.2599
SOB_M_DC-14-11031-200-003.png,1,66,1245320.613
SOB_M_DC-14-11031-200-003.png,2,47,886819.2247
SOB_M_DC-14-11031-200-003.png,3,20,377369.8829
SOB_M_DC-14-11031-200-003.png,4,51,962293.2013
SOB_M_DC-14-11031-200-003.png,5,44,830213.7423
SOB_M_DC-14-11031-200-004.png,0,33,622660.3067
SOB_M_DC-14-11031-200-004.png,1,19,358501.3887
SOB_M_DC-14-11031-200-004.png,2,18,339632.8946
SOB_M_DC-14-11031-200-004.png,3,39,735871.2716
SOB_M_DC-14-11031-200-004.png,4,36,679265.7892
SOB_M_DC-14-11031-200-004.png,5,25,471712.3536
SOB_M_DC-14-11031-200-005.png,0,12,226421.9297
SOB_M_DC-14-11031-200-005.png,1,15,283027.4121
SOB_M_DC-14-11031-200-005.png,2,16,301895.9063
SOB_M_DC-14-11031-200-005.png,3,41,773608.2599
SOB_M_DC-14-11031-200-005.png,4,22,415106.8712
SOB_M_DC-14-11031-200-005.png,5,27,509449.3419
SOB_M_DC-14-11031-200-006.png,0,29,547186.3302
SOB_M_DC-14-11031-200-006.png,1,75,1415137.061
SOB_M_DC-14-11031-200-006.png,2,19,358501.3887
SOB_M_DC-14-11031-200-006.png,3,7,132079.459
SOB_M_DC-14-11031-200-006.png,4,95,1792506.944
SOB_M_DC-14-11031-200-006.png,5,24,452843.8594
SOB_M_DC-14-11031-200-007.png,0,26,490580.8477
SOB_M_DC-14-11031-200-007.png,1,21,396238.377
SOB_M_DC-14-11031-200-007.png,2,4,75473.97657
SOB_M_DC-14-11031-200-007.png,3,12,226421.9297
SOB_M_DC-14-11031-200-007.png,4,6,113210.9649
SOB_M_DC-14-11031-200-007.png,5,7,132079.459
SOB_M_DC-14-11031-200-008.png,0,34,641528.8009
SOB_M_DC-14-11031-200-008.png,1,50,943424.7072
SOB_M_DC-14-11031-200-008.png,2,39,735871.2716
SOB_M_DC-14-11031-200-008.png,3,31,584923.3184
SOB_M_DC-14-11031-200-008.png,4,33,622660.3067
SOB_M_DC-14-11031-200-008.png,5,23,433975.3653
SOB_M_DC-14-11031-200-009.png,0,3,56605.48243
SOB_M_DC-14-11031-200-009.png,1,18,339632.8946
SOB_M_DC-14-11031-200-009.png,2,14,264158.918
SOB_M_DC-14-11031-200-009.png,3,37,698134.2833
SOB_M_DC-14-11031-200-009.png,4,61,1150978.143
SOB_M_DC-14-11031-200-009.png,5,62,1169846.637
SOB_M_DC-14-11031-200-010.png,0,50,943424.7072
SOB_M_DC-14-11031-200-010.png,1,62,1169846.637
SOB_M_DC-14-11031-200-010.png,2,60,1132109.649
SOB_M_DC-14-11031-200-010.png,3,61,1150978.143
SOB_M_DC-14-11031-200-010.png,4,51,962293.2013
SOB_M_DC-14-11031-200-010.png,5,57,1075504.166
SOB_M_DC-14-11031-200-011.png,0,18,339632.8946
SOB_M_DC-14-11031-200-011.png,1,14,264158.918
SOB_M_DC-14-11031-200-011.png,2,44,830213.7423
SOB_M_DC-14-11031-200-011.png,3,54,1018898.684
SOB_M_DC-14-11031-200-011.png,4,16,301895.9063
SOB_M_DC-14-11031-200-011.png,5,8,150947.9531
SOB_M_DC-14-11031-200-012.png,0,32,603791.8126
SOB_M_DC-14-11031-200-012.png,1,41,773608.2599
SOB_M_DC-14-11031-200-012.png,2,39,735871.2716
SOB_M_DC-14-11031-200-012.png,3,38,717002.7774
SOB_M_DC-14-11031-200-012.png,4,24,452843.8594
SOB_M_DC-14-11031-200-012.png,5,36,679265.7892
SOB_M_DC-14-11031-200-013.png,0,18,339632.8946
SOB_M_DC-14-11031-200-013.png,1,10,188684.9414
SOB_M_DC-14-11031-200-013.png,2,37,698134.2833
SOB_M_DC-14-11031-200-013.png,3,20,377369.8829
SOB_M_DC-14-11031-200-013.png,4,33,622660.3067
SOB_M_DC-14-11031-200-013.png,5,32,603791.8126
SOB_M_DC-14-11031-200-014.png,0,36,679265.7892
SOB_M_DC-14-11031-200-014.png,1,39,735871.2716
SOB_M_DC-14-11031-200-014.png,2,38,717002.7774
SOB_M_DC-14-11031-200-014.png,3,56,1056635.672
SOB_M_DC-14-11031-200-014.png,4,34,641528.8009
SOB_M_DC-14-11031-200-014.png,5,17,320764.4004
SOB_M_DC-14-11520-200-001.png,0,16,301895.9063
SOB_M_DC-14-11520-200-001.png,1,14,264158.918
SOB_M_DC-14-11520-200-001.png,2,32,603791.8126
SOB_M_DC-14-11520-200-001.png,3,23,433975.3653
