image_file,patch_index,num_nuclei,density_per_mm2
SOB_M_DC-14-11031-100-001.png,0,75,353784.2652
SOB_M_DC-14-11031-100-001.png,1,84,396238.377
SOB_M_DC-14-11031-100-001.png,2,93,438692.4888
SOB_M_DC-14-11031-100-001.png,3,94,443409.6124
SOB_M_DC-14-11031-100-001.png,4,101,476429.4771
SOB_M_DC-14-11031-100-001.png,5,106,500015.0948
SOB_M_DC-14-11031-100-002.png,0,89,419823.9947
SOB_M_DC-14-11031-100-002.png,1,110,518883.5889
SOB_M_DC-14-11031-100-002.png,2,124,584923.3184
SOB_M_DC-14-11031-100-002.png,3,126,594357.5655
SOB_M_DC-14-11031-100-002.png,4,134,632094.5538
SOB_M_DC-14-11031-100-002.png,5,104,490580.8477
SOB_M_DC-14-11031-100-003.png,0,18,84908.22364
SOB_M_DC-14-11031-100-003.png,1,17,80191.10011
SOB_M_DC-14-11031-100-003.png,2,27,127362.3355
SOB_M_DC-14-11031-100-003.png,3,51,240573.3003
SOB_M_DC-14-11031-100-003.png,4,89,419823.9947
SOB_M_DC-14-11031-100-003.png,5,135,636811.6773
SOB_M_DC-14-11031-100-004.png,0,111,523600.7125
SOB_M_DC-14-11031-100-004.png,1,122,575489.0714
SOB_M_DC-14-11031-100-004.png,2,46,216987.6826
SOB_M_DC-14-11031-100-004.png,3,116,547186.3302
SOB_M_DC-14-11031-100-004.png,4,99,466995.23
SOB_M_DC-14-11031-100-004.png,5,65,306613.0298
SOB_M_DC-14-11031-100-005.png,0,18,84908.22364
SOB_M_DC-14-11031-100-005.png,1,47,221704.8062
SOB_M_DC-14-11031-100-005.png,2,23,108493.8413
SOB_M_DC-14-11031-100-005.png,3,13,61322.60597
SOB_M_DC-14-11031-100-005.png,4,35,165099.3238
SOB_M_DC-14-11031-100-005.png,5,62,292461.6592
SOB_M_DC-14-11031-100-006.png,0,58,273593.1651
SOB_M_DC-14-11031-100-006.png,1,60,283027.4121
SOB_M_DC-14-11031-100-006.png,2,63,297178.7828
SOB_M_DC-14-11031-100-006.png,3,55,259441.7945
SOB_M_DC-14-11031-100-006.png,4,82,386804.1299
SOB_M_DC-14-11031-100-006.png,5,116,547186.3302
SOB_M_DC-14-11031-100-007.png,0,13,61322.60597
SOB_M_DC-14-11031-100-007.png,1,8,37736.98829
SOB_M_DC-14-11031-100-007.png,2,8,37736.98829
SOB_M_DC-14-11031-100-007.png,3,8,37736.98829
SOB_M_DC-14-11031-100-007.png,4,12,56605.48243
SOB_M_DC-14-11031-100-007.png,5,6,28302.74121
SOB_M_DC-14-11031-100-008.png,0,10,47171.23536
SOB_M_DC-14-11031-100-008.png,1,20,94342.47072
SOB_M_DC-14-11031-100-008.png,2,29,136796.5825
SOB_M_DC-14-11031-100-008.png,3,83,391521.2535
SOB_M_DC-14-11031-100-008.png,4,24,113210.9649
SOB_M_DC-14-11031-100-008.png,5,71,334915.771
SOB_M_DC-14-11031-100-009.png,0,23,108493.8413
SOB_M_DC-14-11031-100-009.png,1,4,18868.49414
SOB_M_DC-14-11031-100-009.png,2,73,344350.0181
SOB_M_DC-14-11031-100-009.png,3,8,37736.98829
SOB_M_DC-14-11031-100-009.png,4,55,259441.7945
SOB_M_DC-14-11031-100-009.png,5,51,240573.3003
SOB_M_DC-14-11031-100-010.png,0,26,122645.2119
SOB_M_DC-14-11031-100-010.png,1,44,207553.4356
SOB_M_DC-14-11031-100-010.png,2,112,528317.836
SOB_M_DC-14-11031-100-010.png,3,46,216987.6826
SOB_M_DC-14-11031-100-010.png,4,54,254724.6709
SOB_M_DC-14-11031-100-010.png,5,88,415106.8712
SOB_M_DC-14-11031-100-011.png,0,105,495297.9713
SOB_M_DC-14-11031-100-011.png,1,114,537752.0831
SOB_M_DC-14-11031-100-011.png,2,130,613226.0597
SOB_M_DC-14-11031-100-011.png,3,17,80191.10011
SOB_M_DC-14-11031-100-011.png,4,96,452843.8594
